Morphotype I (values of s),"Morphotype I (values of E, C, T)",Morphotype II (values of s),"Morphotype II (values of E, C, T)",Morphotype III (values of s),"Morphotype III (values of E, C, T)",Morphotype IV (values of s),"Morphotype IV (values of E, C, T)",Morphotype V (values of s),"Morphotype V (values of E, C, T)",Morphotype VI (values of s),"Morphotype VI (values of E, C, T)",Morphotype VII (values of s),"Morphotype VII (values of E, C, T)",Morphotype VIII (values of s),"Morphotype VIII (values of E, C, T)"
s,E,s,E,s,E,s,E,s,E,s,E,s,E,s,E
1856,-0.23,1852,-0.11,1190,0.08,2200,-0.04,2532,-0.1,2498,0.035,2498,0.035,2508,-0.1
1872,-0.255,1860,-0.15,1288,0.09,2218,-0.105,2566,-0.105,2500,0,2500,0,2528,-0.115
1902,-0.255,1872,-0.17,1392,0.1,2250,-0.11,2592,-0.1,2502,-0.01,2700,0,2556,-0.105
1918,-0.235,1896,-0.175,1729,0.125,2282,-0.1,2620,-0.075,2516,-0.02,upper limit of s = 2700,,2574,-0.075
1928,-0.21,1914,-0.16,1773,0.16,2316,-0.06,2646,-0.03,2534,-0.02,growth increment = 0.05,,2588,-0.045
1958,-0.105,1928,-0.14,1791,0.235,2350,-0.02,2664,-0.015,2550,-0.01,,,2608,-0.015
1968,-0.09,1954,-0.075,1799,0.28,upper limit of s =2350,,2700,0,2572,0,,,2648,0
2000,-0.07,1962,-0.06,1806,0.61,growth increment = 0.05,,upper limit of s = 2700,,2700,0,,,2700,0
upper limit of s = 2000,,1974,-0.05,1807,0.635,,,growth increment = 0.05,,upper limit of s = 2700,,,,upper limit of s = 2700,
growth increment = 0.05,,2000,-0.04,1815,0.665,,,,,growth increment = 0.05,,,,growth increment = 0.05,
,,upper limit of s = 2000,,1825,0.67,,,,,,,,,,
,,growth increment = 0.05,,1833,0.625,,,,,,,,,,
,,,,1841,0.13,,,,,,,,,,
,,,,1855,-0.045,,,,,,,,,,
,,,,1871,-0.09,,,,,,,,,,
,,,,1895,-0.09,,,,,,,,,,
,,,,1917,-0.065,,,,,,,,,,
,,,,1949,-0.035,,,,,,,,,,
,,,,2000,-0.02,,,,,,,,,,
,,,,upper limit of s = 2000,,,,,,,,,,,
,,,,growth increment = 0.05,,,,,,,,,,,
