"genus","species","family","habitat","repo","W","Traup","D","Delta","Gamma","expansion","T.centerline","tan.lead","tan.beta","sin.beta","cot.spiral"
"Chicoreus","banksii","Muricidae","M","SPMN",1.58,2.233,0.337,0.11,-0.436,0.0728014254992912,4.466,0.324272970813302,0.223914017017465,0.218503400590406,0.33318211662875
"Chicoreus","cornucervi","Muricidae","M","SPMN",1.775,1.81,0.241,0.204,-0.822,0.0913231736571125,3.62,0.329219904925612,0.276243093922652,0.266270278169142,0.342971713873005
"Chicoreus","torrefactus","Muricidae","M","SPMN",1.542,2.239,0.111,0.22,-0.581,0.0689268665443102,4.478,0.307923915247859,0.223313979455114,0.21794571107809,0.316257044946453
"Concholepas","concholepas","Muricidae","M","UMUT",9.393,0.591,NA,-0.061,-0.767,0.356501459292128,1.182,0.396916228682454,0.846023688663283,0.64588433273658,0.551958673129055
"Coralliophila","neritoides","Muricidae","M","UMUT",3.033,1.146,-0.047,0.537,-0.482,0.17659072181726,2.292,0.398578944302549,0.43630017452007,0.399895592892397,0.44159206791953
"Cronia","margariticola","Muricidae","M","UMUT",1.552,2.128,0.28,0.253,-0.863,0.0699556674317363,4.256,0.29700546556071,0.234962406015038,0.228733344690251,0.305839393580633
"Drupa","ricinus ricinus","Muricidae","M","SPMN",1.895,1.415,-0.091,0.456,-1.357,0.101734837870208,2.83,0.286431129005028,0.353356890459364,0.333168640655527,0.30535538299775
"Haustellum","haustellum","Muricidae","M","SPMN",2.318,1.169,0.17,-0.27,-0.331,0.133802315834441,2.338,0.310066557200072,0.427715996578272,0.393254730756582,0.340243372475186
"Homalocantha","scorpio","Muricidae","M","SPMN",2.131,2.297,0.09,-0.026,-0.721,0.120415253749073,4.594,0.549220205159817,0.21767522855899,0.212694544893195,0.566141711859794
"Mancinella","echinata","Muricidae","M","SPMN",1.805,1.74,0.001,0.431,-0.631,0.0939906373778329,3.48,0.325652136459115,0.28735632183908,0.276179875094785,0.340323991187175
"Morula","granulata","Muricidae","M","UMUT",1.93,1.543,-0.087,0.49,-0.99,0.104647558646005,3.086,0.321188469311491,0.324044069993519,0.308263456172307,0.339474422123884
"Murex","pecten pecten","Muricidae","M","SPMN",1.838,1.944,0.379,0.211,-0.738,0.0968741162604228,3.888,0.374891569223158,0.257201646090535,0.249094444060126,0.388905166576255
"Nassa","francolina","Muricidae","M","UMUT",2.295,2.222,-0.115,0.139,-0.218,0.132215238433802,4.444,0.582495314920793,0.225022502250225,0.219533090547206,0.602256535013667
"Neothais","orbita","Muricidae","M","SPMN",2.347,1.58,-0.139,0.35,-0.331,0.135781116608806,3.16,0.425166930865992,0.316455696202532,0.301708891434119,0.450040156136582
