genus,species,family,repo,habitat,W,Traup,D,Delta,Gamma,OneOverLambda,E
Viviparus,contectoides,Viviparidae,SPMN,F,1.924,1.644.,0.015,0.364,-0.214,0.175,0.809
Cerithium,nodulosus,Certhiidae,SPMN,M,1.252,4.863,0.053,-0.333,-0.369,0.130,0.808
Rhinoclavis,fasciata,Certhiidae,SPMN,M,1.136,9.584,-0.432,-0.025,-0.109,0.108,0.710
Rhinoclavis,vertagus,Certhiidae,SUM,M,1.250,4.722,-0.143.,0.088,-0.103,0.138,0.811
Turritella,rubescens,Turritellidae,SPMN,M,1.169,9.464,0.023,0.358,-0.479,0.101,0.809
Turritella,fortilirata,Turritellidae,SUM,M,1.205,6.865,-0.091,0.492,-0.446,0.126,0.806
Modulus,candidus,Modulidae,UMUT,M,2.402,0.809,-0.201,0.625,-0.140,0.192,0.791
Planaxis,sulcatus,Modulidae,UMUT,M,1.648,2.487,-0.095,0.495,-0.032,0.175,0.811
Quoyia,decollata,Modulidae,UMUT,M,1.535,2.997,-0.183,0.452,-0.554,0.183,0.797
Certhidea,obtusa,Potamididae,UMUT,M,1.264,4.570,-0.069,-0.174,-0.393,0.143,0.800
Tympanotonus,fuscatus,Potamididae,UMUT,M,1.169,6.431,-0.138,-0.319,0.414,0.135,0.797
Telebralia,palustris,Potamididae,SUM,M,1.199.,4.763,0.018,-0.228,-0.187,0.149,0.823
Anculosa,praerosa,Pleuroceridae,UMUT,F,3.522,1.280,-0.116,0.144,-0.217,0.193,0.806
Semisulcospira,niponica,Pleuroceridae,UMUT,F,1.414,3.829,-0.063,0.296,-0.179,0.147,0.809
Melanoides,tuberculatus,Thiaridae,UMUT,F,1.337,5.027,-0.074,0.366,0.173,0.128,0.809
Semisulcospira,reticulata,Thiaridae,SUM,F,1.192,6.254,-0.214,0.656,-0.369,0.137,0.810
Faunus,ater,Thiaridae,SPMN,F,1.235,6.318,-0.176,-0.160,-0.181,0.123,0.786
Echininus,cumingii spinulosus,Littorinidae,UMUT,M,1.740,1.551,0.021,0.787,-0.058,0.196,0.809
Lacuna,vincia,Littorinidae,UMUT,M,2.475,2.052,-0.182,0.549,-0.067,0.183,0.810
Littorina,littorea,Littorinidae,UMUT,M,2.101,1.656,-0.148,0.597,-0.238,0.234,0.806
Littorina,undulata,Littorinidae,UMUT,M,1.794,2.419,0.008,0.418,0.122,0.158,0.809
Littorina,zebra,Littorinidae,SPMN,M,2.317,1.498,-0.004,0.768,-0.353,0.162,0.808
Tectarius,coronatus,Littorinidae,SPMN,M,1.612,1.937,-0.180,0.692,-0.472,0.218,0.806
Rissona,marginata,Rissoidae,UMUT,M,1.714,2.597,-0.118,0.547,-0.208,0.194,0.810
Oncomelania,nosophora,Pomatiopsidae,UMUT,F,1.331,5.172,0.286,0.044,-0.244,0.105,0.810
Assiminea,grayana,Assimineidae,UMUT,M,1.786,2.518,-0.316,0.435,0.000,0.168,0.783
Lambis,chiragra,Strombidae,SUM,M,1.733,1.976,-0.138,0.036,-0.143,0.150,0.808
Lambis,lambis,Strombidae,UMUT,M,3.888,1.860,-0.421,0.026,-0.928,0.169,0.749
Strombus,aurisdianae,Strombidae,UMUT,M,1.641,1.741,-0.217,-0.018,0.195,0.152,0.789
Strombus,dentatus,Strombidae,UMUT,M,1.564,2.686,-0.197,0.189,0.159,0.144,0.799
Strombus,pipus,Strombidae,SPMN,M,1.824,1.282,0.108,0.192,-0.494,0.162,0.819
Strombus,urceas,Strombidae,SUM,M,1.521,2.003,0.036,0.143,0.284,0.142,0.824
Strombus,vomer,Strombidae,SPMN,M,1.572,2.054,-0.100,-0.106,0.363,0.142,0.807
Tibia,fusus,Strombidae,SPMN,M,1.233,6.785,-0.127,0.271,-0.023,0.119,0.807
Tibia,insulaechorab,Strombidae,SUM,M,1.313,4.348,0.075,-0.127,-0.258,0.131,0.809
Terebellum,terebellum terebellum,Seraphidae,SPMN,M,2.216,5.396,-0.399,-0.083,0.000,0.103,0.772
Hipponix,conica,Seraphidae,UMUT,M,46.615,0.285,0.099,-0.177,-0.448,0.147,0.810
Aporrhais,pespelecani,Aporrhaidae,SPMN,M,1.436,3.177,-0.010,-0.280,-0.241,0.138,0.806
Aporrhais,occidentalis,Aporrhaidae,UMUT,M,1.416,3.622,0.004,-0.248,-0.173,0.133,0.807
Struthiolaria,papulosa,Struthiolariidae,UMUT,M,1.630,2.563,-0.317,0.288,-0.269,0.160,0.771
Vanikoro,acuta,Vanikoridae,UMUT,M,3.168,1.125,-0.101,0.597,-0.266,0.202,0.808
Capulus,ungaricus,Capulidae,SPMN,M,135.702,0.085,0.044,0.105,-0.695,0.202,0.809
Trichamathina,nobilis,Capulidae,UMUT,M,12.868,0.212,0.159,0.129,-0.458,0.154,0.810
Trichotropis,bicarinata,Capulidae,UMUT,M,2.731,0.932,-0.018,0.442,-0.272,0.211,0.809
Crepidula,fornicata,Calyptraeidae,UMUT,M,19.411,0.260,-0.162,0.186,-0.484,0.317,0.805
Stellaria,exutus,Xenophoridae,SUM,M,2.095,0.815,0.127,0.825,-0.157,0.194,0.810
Stellaria,solaris,Xenophoridae,SPMN,M,1.932,0.947,0.044,1.333,0.507,0.136,0.807
Xenophora,pallidula,Xenophoridae,UMUT,M,1.693,1.122,-0.040,1.232,0.165,0.183,0.812
Cypraea,mauritiana,Cypraeidae,UMUT,M,6.169,1.613,-0.057,0.213,-0.149,0.167,0.809
